"global_id";"Stop times code";"Trip code";"Arrival time";"Departure time";"Stop code";"Distance from the beginning of the route";"Type landing";"Destination is displayed";"Number stop";"Type of trip";"Interval on the route";
"global_id";"Код расписания";"Код рейса";"Время прибытия";"Время отправления";"Код остановки";"Расстояние от начала маршрута, км";"Тип посадки";"Пункт назначения рейса, отображающийся на информационном табло";"Номер остановки по пути следования";"Тип рейса";"Интервал на маршруте";
"5077020178";"";"4450_100019733_3_8";"07:03:00";"07:03:00";"2609";"";"";"";"19";"";"";
"5077020565";"";"4450_100019733_3_8";"06:46:00";"06:46:00";"2597";"";"";"";"4";"";"";
"5077032680";"";"4420_100031113_11_14";"21:36:00";"21:36:00";"3618";"";"";"";"14";"";"";
"5077032686";"";"4420_100031113_11_14";"21:42:00";"21:42:00";"3445";"";"";"";"17";"";"";
"5077032697";"";"4420_100031113_11_14";"21:33:00";"21:33:00";"3616";"";"";"";"12";"";"";
"5077032709";"";"4420_100031113_11_14";"22:07:00";"22:07:00";"1002615";"";"";"";"34";"";"";
"5077032738";"";"4420_100031113_11_14";"22:20:00";"22:20:00";"16611";"";"";"";"43";"";"";
"5077032771";"";"4420_100031113_11_14";"21:25:00";"21:25:00";"3695";"";"";"";"5";"";"";
"5077032776";"";"4420_100031113_11_14";"21:27:00";"21:27:00";"3697";"";"";"";"7";"";"";
"5077032779";"";"4420_100031113_11_14";"22:10:00";"22:10:00";"4177";"";"";"";"36";"";"";
"5077032791";"";"4420_100031113_11_14";"21:58:00";"21:58:00";"3450";"";"";"";"26";"";"";
"5077032792";"";"4420_100031113_11_14";"22:19:00";"22:19:00";"16609";"";"";"";"42";"";"";
"5077032805";"";"4420_100031113_11_14";"22:02:00";"22:02:00";"4173";"";"";"";"30";"";"";
"5077032838";"";"4420_100031113_11_14";"22:09:00";"22:09:00";"4176";"";"";"";"35";"";"";
"5077032839";"";"4420_100031113_11_14";"21:31:00";"21:31:00";"3614";"";"";"";"10";"";"";
"5077032861";"";"4420_100031113_11_14";"21:20:00";"21:20:00";"8605";"";"";"";"1";"";"";
"5077032939";"";"4420_100031113_11_14";"21:51:00";"21:51:00";"6165";"";"";"";"22";"";"";
"5077032943";"";"4420_100031113_11_14";"22:16:00";"22:16:00";"16606";"";"";"";"40";"";"";
"5077032944";"";"4420_100031113_11_14";"21:23:00";"21:23:00";"3694";"";"";"";"4";"";"";
"5077032953";"";"4420_100031113_11_14";"21:28:00";"21:28:00";"3698";"";"";"";"8";"";"";
"5077032965";"";"4420_100031113_11_14";"22:23:00";"22:23:00";"1001795";"";"";"";"45";"";"";
"5077032966";"";"4420_100031113_11_14";"21:49:00";"21:49:00";"6164";"";"";"";"21";"";"";
"5077032972";"";"4420_100031113_11_14";"21:30:00";"21:30:00";"6162";"";"";"";"9";"";"";
"5077032974";"";"4420_100031113_11_14";"22:04:00";"22:04:00";"14133";"";"";"";"32";"";"";
"5077033075";"";"4420_100031113_11_14";"21:44:00";"21:44:00";"6365";"";"";"";"18";"";"";
"5077033078";"";"4420_100031113_11_14";"21:47:00";"21:47:00";"1002188";"";"";"";"20";"";"";
"5077033092";"";"4420_100031113_11_14";"21:22:00";"21:22:00";"3693";"";"";"";"3";"";"";
"5077033098";"";"4420_100031113_11_14";"22:12:00";"22:12:00";"4179";"";"";"";"38";"";"";
"5077033113";"";"4420_100031113_11_14";"21:45:00";"21:45:00";"6366";"";"";"";"19";"";"";
"5077033122";"";"4420_100031113_11_14";"21:21:00";"21:21:00";"8604";"";"";"";"2";"";"";
"5077033124";"";"4420_100031113_11_14";"22:17:00";"22:17:00";"16608";"";"";"";"41";"";"";
"5077033132";"";"4420_100031113_11_14";"21:37:00";"21:37:00";"8630";"";"";"";"15";"";"";
"5077033141";"";"4420_100031113_11_14";"22:03:00";"22:03:00";"16514";"";"";"";"31";"";"";
"5077033156";"";"4420_100031113_11_14";"21:53:00";"21:53:00";"6166";"";"";"";"23";"";"";
"5077033166";"";"4420_100031113_11_14";"22:11:00";"22:11:00";"4178";"";"";"";"37";"";"";
"5077033170";"";"4420_100031113_11_14";"21:56:00";"21:56:00";"22638";"";"";"";"25";"";"";
"5077033179";"";"4420_100031113_11_14";"21:59:00";"21:59:00";"21551";"";"";"";"27";"";"";
"5077033181";"";"4420_100031113_11_14";"22:14:00";"22:14:00";"22368";"";"";"";"39";"";"";
"5077033217";"";"4420_100031113_11_14";"22:01:00";"22:01:00";"13134";"";"";"";"29";"";"";
"5077033223";"";"4420_100031113_11_14";"21:32:00";"21:32:00";"3615";"";"";"";"11";"";"";
"5077033273";"";"4420_100031113_11_14";"21:39:00";"21:39:00";"6242";"";"";"";"16";"";"";
"5077033280";"";"4420_100031113_11_14";"21:34:00";"21:34:00";"3617";"";"";"";"13";"";"";
"5077033300";"";"4420_100031113_11_14";"21:26:00";"21:26:00";"3696";"";"";"";"6";"";"";
"5077033377";"";"4420_100031113_11_14";"22:22:00";"22:22:00";"16612";"";"";"";"44";"";"";
