"global_id";"Stop code";"Stop name";"Station Name";"Street";"Direction";"Pavilion";"Operating organization name";"Pavilion electrification";"Transport type";"Geodata";"Centroid";
"global_id";"Код остановки";"Наименование остановки";"Название остановки согласно указателю";"Наименование улицы, на которой находится остановка";"Направление";"Наличие павильона";"Балансодержатель остановки с павильоном";"Электроподключение остановочного павильона";"Вид транспорта";"Геоданные";"Центроид";
"5107799790";"1004675";"Зелёный";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[36.959591, 55.93799721]]]";"{type=Point, coordinates=[36.959591, 55.93799721]}";
"5107799791";"1003980";"Ул. Терешковой";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.95614773, 55.79800796]]]";"{type=Point, coordinates=[37.95614773, 55.79800796]}";
"5107799792";"1004602";"Посёлок";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.10631644, 55.98278048]]]";"{type=Point, coordinates=[37.10631644, 55.98278048]}";
"5107799793";"1004046";"Социально-экономический ин-т";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.69870513, 55.55347197]]]";"{type=Point, coordinates=[37.69870513, 55.55347197]}";
"5107799794";"1004407";"Ул. Родионова";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.4045308, 55.90469136]]]";"{type=Point, coordinates=[37.4045308, 55.90469136]}";
"5107799795";"10040";"Братиславская ул., 26";"";"";"";"да";"ГУП Мосгортранс";"Подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.7642443, 55.65447764]]]";"{type=Point, coordinates=[37.7642443, 55.65447764]}";
"5107799796";"1004527";"Ул. Рабухина";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[36.96221006, 56.18575552]]]";"{type=Point, coordinates=[36.96221006, 56.18575552]}";
"5107799797";"1004647";"Хоругвино";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.21306063, 56.11475413]]]";"{type=Point, coordinates=[37.21306063, 56.11475413]}";
"5107799798";"1004517";"Рабочий посёлок";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.33757688, 55.99418936]]]";"{type=Point, coordinates=[37.33757688, 55.99418936]}";
"5107799799";"1004591";"Госпиталь ветеранов войн";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.11553658, 55.97424733]]]";"{type=Point, coordinates=[37.11553658, 55.97424733]}";
"5107799800";"1004705";"Снегири-2";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.03446518, 55.8875206]]]";"{type=Point, coordinates=[37.03446518, 55.8875206]}";
"5107799801";"1004272";"Институт культуры";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.47654423, 55.89397352]]]";"{type=Point, coordinates=[37.47654423, 55.89397352]}";
"5107799802";"1003969";"Горенки";"";"";"";"";"";"Не подключено";"Автобус";"[Geometry[type=Point, coordinates=[37.91645334, 55.79330523]]]";"{type=Point, coordinates=[37.91645334, 55.79330523]}";
